soil_type,ph_level,nitrogen,phosphorus,potassium,moisture_level,irrigation_type,soil_health_score,crop_1,crop_2,crop_3,disease_risk,weather_rainfall_mm,temperature_c,humidity_percent,profit_estimate,image_url
Clay,6.19,32,38,23,60,Sprinkler,57,Soybean,Rice,Barley,Medium,193,23,68,40743,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/180.jpg
Clay,7.11,43,38,44,53,Drip,85,Maize,Groundnut,Vegetables,High,148,29,78,71885,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/2.jpg
Sandy,6.87,47,20,40,50,Drip,94,Vegetables,Cotton,Barley,Medium,88,21,43,29764,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/104.jpg
Loamy,6.95,59,15,24,76,Drip,76,Soybean,Rice,Barley,Low,109,21,53,32468,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/12.jpg
Loamy,7.48,39,37,37,66,Flood,82,Maize,Maize,Wheat,Medium,57,21,85,69786,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/16.jpg
Sandy,6.78,36,28,32,55,Sprinkler,90,Groundnut,Millet,Soybean,High,85,20,74,64310,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/101.jpg
Sandy,6.44,38,17,31,65,Drip,91,Millet,Rice,Wheat,Low,107,25,80,37931,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/26.jpg
Loamy,6.71,48,20,24,74,Sprinkler,81,Vegetables,Rice,Wheat,High,198,23,45,64389,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/11.jpg
Silty,7.13,50,28,40,45,Drip,60,Rice,Soybean,Maize,High,194,35,70,25925,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/1.jpg
Silty,6.24,44,21,30,72,Drip,59,Vegetables,Soybean,Millet,Medium,171,22,75,69173,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/17.jpg
Silty,6.6,33,33,30,48,Drip,65,Vegetables,Cotton,Vegetables,Low,101,24,67,31863,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/18.jpg
Loamy,6.67,45,23,26,62,Sprinkler,52,Soybean,Vegetables,Cotton,Medium,122,30,71,67867,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/19.jpg
Loamy,7.04,34,15,48,58,Flood,58,Sugarcane,Maize,Millet,Low,193,25,87,70342,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/24.jpg
Sandy,6.13,48,27,43,43,Sprinkler,58,Rice,Sugarcane,Cotton,Medium,123,27,68,44940,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/23.jpg
Clay,6.88,53,22,46,67,Drip,80,Millet,Barley,Vegetables,Low,131,27,83,76452,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/100.jpg
Clay,6.1,28,17,50,64,Flood,85,Maize,Soybean,Sugarcane,Low,169,27,54,71875,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/10.jpg
Silty,6.43,42,33,44,76,Drip,81,Cotton,Wheat,Groundnut,Medium,194,32,55,68938,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/25.jpg
Sandy,6.6,33,30,21,67,Flood,80,Millet,Sugarcane,Maize,Medium,108,22,79,50153,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/20.jpg
Clay,5.56,40,27,46,38,Sprinkler,73,Groundnut,Maize,Cotton,High,142,25,70,48791,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/103.jpg
Clay,5.7,58,39,43,37,Flood,69,Sugarcane,Maize,Cotton,High,103,23,73,58623,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/22.jpg
Clay,6.47,41,20,45,57,Drip,52,Millet,Barley,Barley,Low,60,34,85,56729,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/200.jpg
Sandy,7.06,57,23,20,75,Sprinkler,90,Groundnut,Millet,Soybean,Low,188,29,86,75432,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/21.jpg
Silty,7.26,47,39,39,62,Drip,71,Rice,Cotton,Cotton,High,192,22,54,21178,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/105.jpg
Clay,6.28,51,30,33,61,Flood,58,Wheat,Cotton,Millet,Low,152,21,77,40221,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/13.jpg
Sandy,7.45,53,17,41,67,Flood,77,Cotton,Groundnut,Groundnut,Medium,150,25,44,44655,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/15.jpg
Loamy,5.76,26,20,25,51,Sprinkler,90,Vegetables,Barley,Rice,Low,146,29,88,22647,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/14.jpg
Sandy,5.61,39,33,47,48,Flood,93,Soybean,Sugarcane,Groundnut,Low,180,20,65,34034,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (305).jpeg
Sandy,7.17,26,38,50,49,Drip,91,Cotton,Cotton,Groundnut,Low,142,27,71,31189,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/30a.jpg
Sandy,5.87,26,22,31,36,Drip,81,Wheat,Cotton,Wheat,High,154,23,78,50669,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (604).jpeg
Silty,5.63,24,37,30,62,Flood,95,Barley,Cotton,Rice,Medium,187,31,55,71049,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (32).jpeg
Silty,6.63,41,21,33,80,Drip,90,Cotton,Rice,Wheat,Medium,134,29,55,70702,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (8).jpeg
Silty,6.45,32,29,38,74,Drip,89,Soybean,Rice,Barley,Medium,142,24,71,33751,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (584).jpeg
Clay,6.36,31,15,30,68,Drip,86,Cotton,Vegetables,Wheat,Medium,147,33,90,35699,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (324).jpeg
Silty,7.44,21,21,46,76,Flood,56,Barley,Soybean,Maize,Low,144,30,46,64917,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (31).jpeg
Clay,6.56,42,40,26,57,Flood,95,Cotton,Sugarcane,Soybean,High,166,28,46,77291,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (201).jpeg
Sandy,6.4,48,31,43,72,Flood,84,Vegetables,Maize,Sugarcane,Low,88,27,86,37986,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (353).jpeg
Loamy,5.91,55,26,46,61,Sprinkler,92,Soybean,Maize,Sugarcane,Medium,132,30,50,31540,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (435).jpeg
Loamy,7.32,38,33,36,40,Flood,61,Sugarcane,Millet,Wheat,Low,107,20,82,36575,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (99).jpeg
Sandy,6.76,31,39,20,32,Drip,72,Millet,Wheat,Vegetables,Medium,161,27,60,34089,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (237).jpeg
Clay,7.21,20,34,36,56,Sprinkler,82,Soybean,Groundnut,Maize,High,143,31,64,60388,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (18).jpeg
Loamy,6.59,27,39,49,74,Sprinkler,80,Barley,Maize,Millet,High,96,33,66,72840,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (624).jpeg
Silty,6.83,31,30,39,52,Flood,77,Barley,Cotton,Cotton,Medium,95,34,74,52839,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (415).jpeg
Silty,7.48,36,29,20,57,Drip,61,Soybean,Cotton,Soybean,High,89,21,75,75455,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (561).jpeg
Clay,6.46,46,39,34,63,Flood,81,Vegetables,Cotton,Sugarcane,Medium,122,32,82,67179,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (496).jpeg
Sandy,6.02,58,24,36,69,Sprinkler,86,Groundnut,Sugarcane,Millet,Low,139,26,80,42613,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (555).jpeg
Sandy,6.52,34,18,36,30,Flood,91,Soybean,Barley,Millet,Low,145,26,46,73531,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (439).jpeg
Silty,6.46,30,35,24,36,Drip,95,Wheat,Sugarcane,Rice,High,129,22,81,36244,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (48).jpeg
Clay,7.1,41,30,25,37,Drip,87,Maize,Maize,Groundnut,High,81,24,40,38515,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (567).jpeg
